sucursal,fecha,meses,margen,mean,std
1287,2018-11-30,4.266666666666667,-241970.0,-70220.21666666666,90401.14868257556
1301,2021-08-31,4.333333333333333,-66194.0,-69250.81666666667,90419.88118417907
1295,2021-04-30,4.433333333333334,1735.0,-68412.35833333334,90659.4703984142
1281,2017-04-30,4.433333333333334,-10208.0,-68112.79166666667,90553.41702055806
1305,2021-10-31,4.466666666666667,-34415.0,-67599.68333333333,90726.42376133168
1299,2021-07-31,4.466666666666667,78621.0,-68589.2,90901.1338665727
1296,2021-03-31,4.566666666666666,-71230.0,-67681.73333333334,90411.81864316888
1289,2018-07-31,4.6,-195944.0,-66306.525,89715.10052953505
1307,2021-11-30,4.6,-25347.0,-65760.45,89355.94559818263
1297,2021-06-30,4.633333333333334,-64145.0,-65980.96666666666,89424.96542225772
1300,2021-08-31,4.633333333333334,22531.0,-63647.84166666667,87951.51223087304
1292,2019-12-31,4.633333333333334,-306189.0,-62186.691666666666,87952.9741742564
1304,2021-12-31,4.766666666666667,-69184.0,-60715.558333333334,87739.62083995703
1293,2020-11-30,4.766666666666667,-28007.0,-58625.01666666667,90705.11425242758
1302,2021-08-31,4.866666666666666,-33379.0,-58644.0,90712.5569734172
1298,2021-04-30,4.866666666666666,-230329.0,-58430.13333333333,90823.22612894495
1303,2021-09-30,4.966666666666667,24394.0,-57262.76666666667,92434.73416123238
1282,2017-07-31,5.0,-98952.0,-58138.525,92551.2081295251
1309,2021-11-30,5.066666666666666,31582.0,-56776.675,92216.36583383323
1308,2021-12-31,5.1,-7544.0,-58675.291666666664,94229.0923744049
1291,2019-01-31,5.1,-54162.0,-60067.21666666667,95176.269392897
1294,2021-01-31,5.233333333333333,-109381.0,-58963.808333333334,95320.05051821409
1306,2021-10-31,5.266666666666667,-20686.0,-56843.0,92797.21927076562
1288,2019-03-31,5.266666666666667,-35547.0,-56805.916666666664,92806.22107702716
1287,2018-12-31,5.3,-159111.0,-56629.51666666667,92840.62671765767
1301,2021-09-30,5.333333333333333,-86932.0,-57138.2,92434.31426090654
1295,2021-05-31,5.466666666666667,34691.0,-56929.166666666664,92253.73238454669
1305,2021-11-30,5.466666666666667,-22666.0,-56355.46666666667,92154.97006070608
1281,2017-05-31,5.466666666666667,-108654.0,-56345.808333333334,92148.75774486024
1299,2021-08-31,5.5,105884.0,-56005.166666666664,91887.40236287675
1296,2021-04-30,5.566666666666666,-80899.0,-55813.325,91990.40236228907
1300,2021-09-30,5.633333333333334,32545.0,-55141.183333333334,91765.21519159307
1289,2018-08-31,5.633333333333334,-220760.0,-55142.183333333334,91764.14928271036
1307,2021-12-31,5.633333333333334,15201.0,-52380.325,94531.16019147118
1297,2021-07-31,5.666666666666667,-7608.0,-50824.64166666667,95941.89781135051
1292,2020-01-31,5.666666666666667,-291220.0,-52335.525,97198.8097551328
1304,2022-01-31,5.8,-74696.0,-51054.416666666664,95472.02924730386
