sucursal,fecha,meses,margen,mean,std
1307,2021-05-31,-1.5,,25848.073170731706,44513.030915334355
1307,2021-06-30,-0.5,,24916.071428571428,44379.783622832234
1282,2017-02-28,-0.1,,24962.53488372093,43849.328565934484
1318,2022-01-31,0.06666666666666667,,24782.204545454544,43352.958608611465
1306,2021-05-31,0.16666666666666666,,25085.755555555555,42905.827489427655
1287,2018-07-31,0.2,,23943.41304347826,43128.047206004834
1288,2018-10-31,0.23333333333333334,-20567.0,25194.744680851065,43510.76999232143
1305,2021-06-30,0.36666666666666664,-174.0,25795.375,43246.073279190896
1299,2021-03-31,0.4,-1138.0,25374.79591836735,42894.374099340224
1295,2020-12-31,0.43333333333333335,,25095.26,42500.40951006069
1296,2020-11-30,0.5333333333333333,-2212.0,24828.0,42116.52805775899
1300,2021-04-30,0.5333333333333333,,24904.615384615383,41705.23637652375
1289,2018-03-31,0.5333333333333333,,24719.45283018868,41324.269674576906
1307,2021-07-31,0.5333333333333333,,25766.555555555555,41649.50781365245
1297,2021-02-28,0.5666666666666667,-50.0,25998.21818181818,41297.81454386737
1292,2019-08-31,0.5666666666666667,,26418.571428571428,41041.38455792116
1312,2021-12-31,0.6666666666666666,,26040.0,40773.59182730901
1319,2021-12-31,0.6666666666666666,,25671.5,40511.66898095914
1304,2021-08-31,0.7,,25556.627118644068,40170.603723111395
1293,2020-07-31,0.7,-133.0,25632.733333333334,39833.08258681924
1314,2021-11-30,0.7333333333333333,,25329.06557377049,39570.8851871629
1302,2021-04-30,0.7666666666666667,,25476.967741935485,39262.46877524147
1313,2022-01-31,0.7666666666666667,,26406.0,39636.5139925785
1298,2020-12-31,0.8666666666666667,,26707.203125,39394.44353059286
1303,2021-05-31,0.9,,26770.63076923077,39088.80781373408
1282,2017-03-31,0.9333333333333333,90875.0,27872.984848484848,39807.41618902086
1309,2021-07-31,1.0,-1741.0,28980.731343283584,40531.92181799504
1291,2018-09-30,1.0,-19572.0,28374.95588235294,40537.27027730577
1308,2021-08-31,1.0333333333333334,7327.0,28405.27536231884,40238.886313996154
1320,2022-01-31,1.1333333333333333,2685.0,28092.657142857144,40031.77337916402
1294,2020-09-30,1.1333333333333333,137776.0,28260.704225352114,39770.019330213465
1315,2021-11-30,1.1666666666666667,319.0,28131.291666666668,39504.220564475
1306,2021-06-30,1.1666666666666667,7322.0,27839.657534246577,39307.980824233535
1287,2018-08-31,1.2333333333333334,1025.0,27490.35135135135,39153.2943848909
1288,2018-11-30,1.2333333333333334,-20251.0,27322.453333333335,38915.01946351518
1301,2021-05-31,1.2666666666666666,29340.0,27708.447368421053,38800.90681084475
1316,2022-01-31,1.3666666666666667,3934.0,27766.714285714286,38548.18335498995
1305,2021-07-31,1.4,-4940.0,27862.80769230769,38306.45473026052
1299,2021-04-30,1.4,17222.0,27612.708860759492,38124.96894631839
1295,2021-01-31,1.4666666666666666,-8961.0,27739.0,37899.74025394443
1281,2017-01-31,1.4666666666666666,132959.0,27469.777777777777,37739.9835906827
1289,2018-04-30,1.5333333333333334,6131.0,28053.926829268294,37877.47617844807
1296,2020-12-31,1.5666666666666667,44360.0,27781.831325301206,37727.33499855448
1300,2021-05-31,1.5666666666666667,31476.0,27710.77380952381,37505.027922644476
1292,2019-09-30,1.5666666666666667,2736.0,27722.823529411766,37281.28082792849
1307,2021-08-31,1.5666666666666667,16427.0,27410.581395348836,37174.27591967489
1297,2021-03-31,1.6,100769.0,27867.091954022988,37202.00046278837
