sucursal,fecha,meses,margen,mean,std
1300,2021-10-31,6.666666666666667,-92449.0,-13651.283333333333,88700.86101532627
1307,2022-01-31,6.666666666666667,-85601.0,-13402.1,88744.89455268053
1297,2021-08-31,6.7,27429.0,-13097.433333333332,88755.79463196655
1293,2021-01-31,6.833333333333333,21070.0,-13741.95,89006.96188122145
1302,2021-10-31,6.9,12364.0,-12311.7,86800.74528032674
1298,2021-06-30,6.9,-82393.0,-11348.216666666667,87053.9355579099
1303,2021-11-30,7.0,5300.0,-10814.266666666666,87623.85888277304
1282,2017-09-30,7.033333333333333,-44172.0,-11316.825,87217.29987203867
1291,2019-03-31,7.066666666666666,15499.0,-11391.891666666666,87241.77836159719
1309,2022-01-31,7.133333333333334,-50973.0,-11273.15,87381.30240692373
1294,2021-03-31,7.2,7835.0,-9362.441666666668,89151.29123661773
1287,2019-02-28,7.266666666666667,-98035.0,-9261.566666666668,89150.64941983715
1306,2021-12-31,7.3,-21557.0,-7952.333333333333,88741.57306777597
1288,2019-05-31,7.3,47106.0,-7873.65,88780.90240857836
1301,2021-11-30,7.366666666666666,58812.0,-5843.733333333334,85856.91025821948
1295,2021-07-31,7.5,209296.0,-6995.116666666667,87374.75836714724
1281,2017-07-31,7.5,67604.0,-6597.125,87121.72806983916
1305,2022-01-31,7.533333333333333,1169.0,-7096.9,87197.37953403968
1299,2021-10-31,7.533333333333333,168298.0,-6647.308333333333,87414.28457308987
1296,2021-06-30,7.6,-87540.0,-4647.925,85029.13552070071
1300,2021-11-30,7.666666666666667,11601.0,-4296.25,85378.27541138722
1292,2020-03-31,7.666666666666667,-147458.0,-4146.991666666667,85364.2753580401
1289,2018-10-31,7.666666666666667,-226142.0,-4438.958333333333,85197.85486572383
1297,2021-09-30,7.7,79399.0,-4695.15,85198.6597704635
1293,2021-02-28,7.766666666666667,-3656.0,-3758.95,85858.50284393804
1302,2021-11-30,7.9,-15946.0,-2892.891666666667,85906.8909477924
1298,2021-07-31,7.933333333333334,-21533.0,-967.4166666666666,88347.78783242826
1303,2021-12-31,8.033333333333333,36779.0,-756.8416666666667,88359.11394422383
1291,2019-04-30,8.066666666666666,10406.0,135.93333333333334,87435.5895839599
1282,2017-10-31,8.066666666666666,7932.0,775.0166666666667,87215.02979552902
1294,2021-04-30,8.2,-44749.0,-2284.1583333333333,91026.78438032279
1288,2019-06-30,8.3,41611.0,-2549.4083333333333,91128.8130385964
1287,2019-03-31,8.3,-90587.0,-2824.383333333333,91094.95452088852
1306,2022-01-31,8.333333333333334,-50565.0,-4143.166666666667,90458.0686732236
1301,2021-12-31,8.4,43100.0,-3034.266666666667,90947.66174021366
1295,2021-08-31,8.533333333333333,234608.0,-2929.4583333333335,91005.06159391651
1281,2017-08-31,8.533333333333333,-51167.0,-2540.7083333333335,91187.44118364161
1299,2021-11-30,8.533333333333333,163719.0,-1863.525,90551.84903215522
1296,2021-07-31,8.633333333333333,-87194.0,724.825,89544.28937453778
1292,2020-04-30,8.666666666666666,-101139.0,1249.7083333333333,89862.2068025175
1289,2018-11-30,8.666666666666666,-201802.0,2887.1916666666666,90106.40503067021
1300,2021-12-31,8.7,-5791.0,3615.225,90410.09862223206
1297,2021-10-31,8.733333333333333,60054.0,3035.2083333333335,90597.17353085449
1293,2021-03-31,8.8,8408.0,3715.766666666667,90226.32842098616
1302,2021-12-31,8.933333333333334,-53062.0,3060.625,90753.47916307523
1298,2021-08-31,8.966666666666667,33607.0,3128.116666666667,90750.22150235099
1303,2022-01-31,9.066666666666666,-26277.0,3772.483333333333,90946.20189601457
1282,2017-11-30,9.066666666666666,-14586.0,4033.65,90920.30963077207
1291,2019-05-31,9.1,38431.0,4618.041666666667,91298.88306471113
1294,2021-05-31,9.233333333333333,17734.0,5740.4,91631.4624783578
1287,2019-04-30,9.3,-32853.0,6855.925,92467.73288028389
1288,2019-07-31,9.333333333333334,84171.0,6979.708333333333,92463.54019841261
1301,2022-01-31,9.433333333333334,81120.0,7787.65,92210.96799750092
1295,2021-09-30,9.533333333333333,196827.0,7875.783333333334,92256.7148160964
1281,2017-09-30,9.533333333333333,8766.0,6734.816666666667,91683.74454896967
1299,2021-12-31,9.566666666666666,125088.0,6823.033333333334,91692.89672147646
